id	output
{"tokenAddress":"0xdAC17F958D2ee523a2206206994597C13D831ec7","userAddress":"0x9faf5515f177F3A8a845D48C19032b33Cc54C09C"}	"990499000"
{"tokenAddress":"0xdAC17F958D2ee523a2206206994597C13D831ec7","userAddress":"0x008fe40574e881E7247b50b991c0Cc057D66647F"}	"0"
{"tokenAddress":"0xdAC17F958D2ee523a2206206994597C13D831ec7","userAddress":"0x0000000000000000000000000000000000000000"}	"206200226317"
{"tokenAddress":"0xdAC17F958D2ee523a2206206994597C13D831ec7","userAddress":"0x0000000000000000000000000000000000000018"}	"63201600"
{"tokenAddress":"0xdAC17F958D2ee523a2206206994597C13D831ec7","userAddress":"0x0000000000000000000000000000000000000019"}	"466705200"
{"tokenAddress":"0xdAC17F958D2ee523a2206206994597C13D831ec7","userAddress":"0x000000000000000000000000000000000000001a"}	"1003013498"
{"tokenAddress":"0xdAC17F958D2ee523a2206206994597C13D831ec7","userAddress":"0x00000000000000000000000000000000000018fE"}	"0"
{"tokenAddress":"0xdAC17F958D2ee523a2206206994597C13D831ec7","userAddress":"0x00000000000000000000000000000000000001f2"}	"0"
{"tokenAddress":"0xdAC17F958D2ee523a2206206994597C13D831ec7","userAddress":"0xdAC17F958D2ee523a2206206994597C13D831ec7"}	"1334966710071"
{"tokenAddress":"0xdAC17F958D2ee523a2206206994597C13D831ec7","userAddress":"0x8faff11FDE21191E7fD50806DcbcDD49265D51a0"}	"0"
{"tokenAddress":"0xdAC17F958D2ee523a2206206994597C13D831ec7","userAddress":"0xBDaf3E422D2cfa10F34c59F7151dd31499A426b5"}	"0"
{"tokenAddress":"0xdAC17F958D2ee523a2206206994597C13D831ec7","userAddress":"0xDa66146Ec41690Ed8392869b0238Dae5774F2314"}	"0"
{"tokenAddress":"0xdAC17F958D2ee523a2206206994597C13D831ec7","userAddress":"0xf192F9Cd28AA0e268EeD28078a432Dd4aBfE8269"}	"0"
{"tokenAddress":"0xdAC17F958D2ee523a2206206994597C13D831ec7","userAddress":"0x0763fa09Cc7D60e734C670D327d11B3A8a3f7776"}	"0"
{"tokenAddress":"0xdAC17F958D2ee523a2206206994597C13D831ec7","userAddress":"0x20D99ca2c88B20E34f5d7F7e5fDC61C9181C6732"}	"0"
{"tokenAddress":"0xdAC17F958D2ee523a2206206994597C13D831ec7","userAddress":"0xB7944bFE170986fD6230b4c18bC7072Cb485686e"}	"0"
{"tokenAddress":"0xdAC17F958D2ee523a2206206994597C13D831ec7","userAddress":"0xd5fAeD37A99373C218a73149f93E47cE1c983dFE"}	"0"
{"tokenAddress":"0xdAC17F958D2ee523a2206206994597C13D831ec7","userAddress":"0x0000000000000000000000000001fc24fE892306"}	"0"
{"tokenAddress":"0xdAC17F958D2ee523a2206206994597C13D831ec7","userAddress":"0xE74F306bfbff84f675fDcEb770b157b70b017169"}	"0"
{"tokenAddress":"0xdAC17F958D2ee523a2206206994597C13D831ec7","userAddress":"0x000000000cd2eA93aC6DE3054ad27667eD965A81"}	"0"
{"tokenAddress":"0xdAC17F958D2ee523a2206206994597C13D831ec7","userAddress":"0x14675623B1d8FcAa086EbCC82Ce5D390D6c681C3"}	"0"
